,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
토지등 소유자 수,1.0,-0.01067445526898392,0.08565242737544862,0.6278556951332253,0.23247725175281067,0.5404610595705102,0.06658336250390803,0.025512208898853823,-0.054358654756929616,-0.06337369506263099,0.2622989314243261,-0.055160383636373225,0.11290891929012599,0.7189161842962206,0.11290891929012599,0.7189161842962206
정비구역면적(㎡),-0.01067445526898392,1.0,-0.00662300277180668,-0.009483126418139231,0.014378120256511962,0.01836412525073882,0.008813926113109438,-0.011833642078580139,0.005490104903123572,-0.016577000517620254,0.008532347225547651,-0.0009561494298410007,-0.009779436349593155,-0.017630261762035183,-0.009779436349593155,-0.017630261762035183
건축연면적(㎡),0.08565242737544862,-0.00662300277180668,1.0,0.01975925868791198,0.029914959139607806,-0.0657122236420554,0.03620415302415839,-0.0002582290301916408,-0.018073404464536886,-0.013354361735656052,0.006708501865248963,0.060523158228483816,0.0011464108012903902,0.08893951021344762,0.0011464108012903902,0.08893951021344762
택지면적(㎡),0.6278556951332253,-0.009483126418139231,0.01975925868791198,1.0,0.4918720475760812,0.4744976234790674,0.24932861203045187,0.009219357403457149,-0.08328120506317106,-0.10579713939037015,0.17837641153290695,-0.005376394278118159,0.04761383594045956,0.5823041355414927,0.04761383594045956,0.5823041355414927
도로면적(㎡),0.23247725175281067,0.014378120256511962,0.029914959139607806,0.4918720475760812,1.0,0.22776084874386113,0.788146049253838,0.009425615842397006,0.006075182906254402,-0.0517270828328102,0.19222192089471885,-0.030246185366699083,0.01841567178160955,0.3741000846271847,0.01841567178160955,0.3741000846271847
공원면적(㎡),0.5404610595705102,0.01836412525073882,-0.0657122236420554,0.4744976234790674,0.22776084874386113,1.0,-0.00577758842686348,0.07963158970655866,0.04593967562571783,-0.06004303543783373,0.2922026663254931,-0.007645166599154884,0.03552211875164873,0.45618548476246973,0.03552211875164873,0.45618548476246973
녹지면적(㎡),0.06658336250390803,0.008813926113109438,0.03620415302415839,0.24932861203045187,0.788146049253838,-0.00577758842686348,1.0,0.10522312449165012,-0.034260107310273596,-0.044569554902050106,0.09347579926031564,-0.02192792657927292,0.027476384653611,0.1754726618399429,0.027476384653611,0.1754726618399429
건폐율,0.025512208898853823,-0.011833642078580139,-0.0002582290301916408,0.009219357403457149,0.009425615842397006,0.07963158970655866,0.10522312449165012,1.0,0.3277349423503888,-0.041160529486176024,-0.048962062427669976,0.09748421605499988,-0.0366217700040856,-0.015332218208446836,-0.0366217700040856,-0.015332218208446836
용적률,-0.054358654756929616,0.005490104903123572,-0.018073404464536886,-0.08328120506317106,0.006075182906254402,0.04593967562571783,-0.034260107310273596,0.3277349423503888,1.0,-0.059420252914465586,0.2603664028904463,-0.009874274305107142,-0.02203790706295824,0.040282473931958655,-0.02203790706295824,0.040282473931958655
높이(m),-0.06337369506263099,-0.016577000517620254,-0.013354361735656052,-0.10579713939037015,-0.0517270828328102,-0.06004303543783373,-0.044569554902050106,-0.041160529486176024,-0.059420252914465586,1.0,-0.008573962855508505,0.0005020574136773764,-0.021492911226590673,-0.09811852794252388,-0.021492911226590673,-0.09811852794252388
지상층수,0.2622989314243261,0.008532347225547651,0.006708501865248963,0.17837641153290695,0.19222192089471885,0.2922026663254931,0.09347579926031564,-0.048962062427669976,0.2603664028904463,-0.008573962855508505,1.0,-0.3001884700276751,0.03573939627567308,0.3475274274579661,0.03573939627567308,0.3475274274579661
지하층수,-0.055160383636373225,-0.0009561494298410007,0.060523158228483816,-0.005376394278118159,-0.030246185366699083,-0.007645166599154884,-0.02192792657927292,0.09748421605499988,-0.009874274305107142,0.0005020574136773764,-0.3001884700276751,1.0,-0.002075409493757082,0.07869908727591486,-0.002075409493757082,0.07869908727591486
분양세대총수,0.11290891929012599,-0.009779436349593155,0.0011464108012903902,0.04761383594045956,0.01841567178160955,0.03552211875164873,0.027476384653611,-0.0366217700040856,-0.02203790706295824,-0.021492911226590673,0.03573939627567308,-0.002075409493757082,1.0,0.091233251279317,1.0,0.091233251279317
임대세대총수,0.7189161842962206,-0.017630261762035183,0.08893951021344762,0.5823041355414927,0.3741000846271847,0.45618548476246973,0.1754726618399429,-0.015332218208446836,0.040282473931958655,-0.09811852794252388,0.3475274274579661,0.07869908727591486,0.091233251279317,1.0,0.091233251279317,1.0
분양세대규모별분포,0.11290891929012599,-0.009779436349593155,0.0011464108012903902,0.04761383594045956,0.01841567178160955,0.03552211875164873,0.027476384653611,-0.0366217700040856,-0.02203790706295824,-0.021492911226590673,0.03573939627567308,-0.002075409493757082,1.0,0.091233251279317,1.0,0.091233251279317
임대세대규모별분포,0.7189161842962206,-0.017630261762035183,0.08893951021344762,0.5823041355414927,0.3741000846271847,0.45618548476246973,0.1754726618399429,-0.015332218208446836,0.040282473931958655,-0.09811852794252388,0.3475274274579661,0.07869908727591486,0.091233251279317,1.0,0.091233251279317,1.0
